unix_timestamp,iso_time,latitude,longitude
1757854607,2025-09-14T12:56:47Z,-24.865276780004,14.848216406811
1757854618,2025-09-14T12:56:58Z,-24.343286455782,15.334580568554
1757854629,2025-09-14T12:57:09Z,-23.819394051008,15.816617297031
1757854640,2025-09-14T12:57:20Z,-23.293655176148,16.294454498526
1757854652,2025-09-14T12:57:32Z,-22.71808875219,16.811081938021
1757854663,2025-09-14T12:57:43Z,-22.188679608087,17.280529011352
1757854674,2025-09-14T12:57:54Z,-21.65760372431,17.746146778246
1757854686,2025-09-14T12:58:06Z,-21.076407342022,18.249867635161
1757854697,2025-09-14T12:58:17Z,-20.542017243367,18.707860019623
1757854708,2025-09-14T12:58:28Z,-20.00612146779,19.162384425199
1757854719,2025-09-14T12:58:39Z,-19.468775166411,19.613550101063
1757854730,2025-09-14T12:58:50Z,-18.930024660115,20.061471396218
1757854741,2025-09-14T12:59:01Z,-18.389923199151,20.506254590865
1757854753,2025-09-14T12:59:13Z,-17.799233653496,20.98802395578
1757854764,2025-09-14T12:59:24Z,-17.256458740639,21.426596748901
1757854776,2025-09-14T12:59:36Z,-16.662964902529,21.901843623178
1757854787,2025-09-14T12:59:47Z,-16.117718423641,22.334667477637
1757854798,2025-09-14T12:59:58Z,-15.5713628074,22.764898529832
1757854811,2025-09-14T13:00:11Z,-14.924296122664,23.27015221959
1757854823,2025-09-14T13:00:23Z,-14.325745039766,23.733594632899
1757854834,2025-09-14T13:00:34Z,-13.776056853639,24.156047947656
1757854845,2025-09-14T13:00:45Z,-13.225443983725,24.576332562061
1757854856,2025-09-14T13:00:56Z,-12.673943908674,24.994547851783
1757854868,2025-09-14T13:01:08Z,-12.071348384905,25.448531029685
1757854879,2025-09-14T13:01:19Z,-11.518129112659,25.862723044432
1757854891,2025-09-14T13:01:31Z,-10.913751719858,26.31254227126
1757854903,2025-09-14T13:01:43Z,-10.308522529327,26.760362082115
1757854914,2025-09-14T13:01:54Z,-9.7530199287822,27.169211462458
1757854925,2025-09-14T13:02:05Z,-9.1968827005774,27.576570848777
1757854936,2025-09-14T13:02:16Z,-8.640144783279,27.982533038013
1757854948,2025-09-14T13:02:28Z,-8.0321581870744,28.423908623057
1757854959,2025-09-14T13:02:39Z,-7.4742897422066,28.827233444321
1757854970,2025-09-14T13:02:50Z,-6.9159399166983,29.22943142784
